Customer_ID,Customer_name,Age,Gender,city,signup_date,income,Loyalty_points,Email_ID,Phone
1,Cust_1,56,Male,Mumbai,2024-01-01 00:00:00,486258,2.171743140757914,cust_1@gmail.com,6502216605.0
2,Cust_2,69,Others,Chennai,2024-01-01 01:00:00,479504,4.825785645153622,cust_2@gmail.com,9798028548.0
3,Cust_3,46,Others,Hyd,2024-01-01 02:00:00,140171,1.2378013758457835,cust_3@gmail.com,9709354651.0
4,Cust_4,32,Male,Chennai,2024-01-01 03:00:00,495370,8.949869863405088,cust_4@gmail.com,6604348020.0
5,Cust_5,60,Others,Chennai,2024-01-01 04:00:00,738180,3.157356342216917,cust_5@gmail.com,9951762950.0
6,Cust_6,25,Others,Chennai,2024-01-01 05:00:00,795750,5.943669667734655,cust_6@gmail.com,9861452649.0
7,Cust_7,38,Female,Chennai,2024-01-01 06:00:00,316882,2.0358549090682816,cust_7@gmail.com,8122937589.0
8,Cust_8,56,Others,Chennai,2024-01-01 07:00:00,97272,5.979316053189558,cust_8@gmail.com,6548954999.0
9,Cust_9,36,Others,Chennai,2024-01-01 08:00:00,421776,1.3509410761167797,cust_9@gmail.com,6406082985.0
10,Cust_10,40,Others,Mumbai,2024-01-01 09:00:00,741509,7.919260260301527,cust_10@gmail.com,9186340649.0
11,Cust_11,28,Male,Chennai,2024-01-01 10:00:00,877902,9.598793163795232,cust_11@gmail.com,8603715384.0
12,Cust_12,28,Male,Blr,2024-01-01 11:00:00,694267,3.762784584492359,cust_12@gmail.com,7578234706.0
13,Cust_13,41,Male,Chennai,2024-01-01 12:00:00,351835,3.3239314940886335,cust_13@gmail.com,6402352575.0
14,Cust_14,53,Others,Mumbai,2024-01-01 13:00:00,473589,5.0319547442815615,cust_14@gmail.com,6678006395.0
15,Cust_15,57,Others,Hyd,2024-01-01 14:00:00,835533,6.5797629422533825,cust_15@gmail.com,6913416408.0
16,Cust_16,41,Male,Blr,2024-01-01 15:00:00,890316,2.700662157926272,cust_16@gmail.com,9947690814.0
17,Cust_17,20,Male,Chennai,2024-01-01 16:00:00,458679,8.229771975365898,cust_17@gmail.com,7990955537.0
18,Cust_18,39,Others,Chennai,2024-01-01 17:00:00,189806,2.786813320153697,cust_18@gmail.com,7028425844.0
19,Cust_19,19,Others,Blr,2024-01-01 18:00:00,331180,1.0492679798533722,cust_19@gmail.com,9167955182.0
20,Cust_20,41,Female,Chennai,2024-01-01 19:00:00,550962,5.718255252270171,cust_20@gmail.com,9054415449.0
21,Cust_21,61,Male,Mumbai,2024-01-01 20:00:00,185963,2.036347400493206,cust_21@gmail.com,9856485292.0
22,Cust_22,47,Others,Chennai,2024-01-01 21:00:00,820324,7.284148528483577,cust_22@gmail.com,7844163859.0
23,Cust_23,55,Male,Hyd,2024-01-01 22:00:00,126106,2.5072299628165466,cust_23@gmail.com,9131501569.0
24,Cust_24,19,Male,Mumbai,2024-01-01 23:00:00,212201,8.35642355968032,cust_24@gmail.com,9555893055.0
25,Cust_25,38,Male,Chennai,2024-01-02 00:00:00,450458,5.233313195883982,cust_25@gmail.com,9312368413.0
26,Cust_26,50,Female,Hyd,2024-01-02 01:00:00,392142,6.096501141549963,cust_26@gmail.com,9010062997.0
27,Cust_27,29,Others,Blr,2024-01-02 02:00:00,215367,2.679266487724406,cust_27@gmail.com,7941910267.0
28,Cust_28,39,Others,Mumbai,2024-01-02 03:00:00,97558,2.320192697774166,cust_28@gmail.com,6528968297.0
29,Cust_29,61,Male,Chennai,2024-01-02 04:00:00,752450,6.681632198681908,cust_29@gmail.com,7528215926.0
30,Cust_30,42,Others,Chennai,2024-01-02 05:00:00,488174,3.299145538075167,cust_30@gmail.com,7931067681.0
31,Cust_31,66,Female,Blr,2024-01-02 06:00:00,173366,4.47333011485982,cust_31@gmail.com,8180830332.0
32,Cust_32,44,Male,Blr,2024-01-02 07:00:00,790585,5.315042385432873,cust_32@gmail.com,7115783330.0
33,Cust_33,59,Female,Mumbai,2024-01-02 08:00:00,332631,3.0667024502284574,cust_33@gmail.com,8789692285.0
34,Cust_34,45,Female,Mumbai,2024-01-02 09:00:00,747588,8.158814295037331,cust_34@gmail.com,9064821956.0
35,Cust_35,178,Others,Mumbai,2024-01-02 10:00:00,192362,9.45481968018015,cust_35@gmail.com,8157543224.0
36,Cust_36,32,Others,Chennai,2024-01-02 11:00:00,28580,4.88703845854205,cust_36@gmail.com,8339420686.0
37,Cust_37,64,Female,Chennai,2024-01-02 12:00:00,762669,9.257935460398873,cust_37@gmail.com,9394436390.0
38,Cust_38,68,Others,Mumbai,2024-01-02 13:00:00,403677,8.944145356081226,cust_38@gmail.com,7461067214.0
